Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Segment,Region,Category,Sub-Category,Product Name,Sales,Quantity,Discount,Profit
ORD-1442,2021-01-01,2021-01-07,First Class,CUS-49286,Home Office,South,Technology,Phones,Motorola Droid,2998.85,7,0.3,-951.15
ORD-1381,2021-01-02,2021-01-07,Same Day,CUS-34886,Home Office,West,Technology,Accessories,Belkin Cable,2897.1,10,0,746.69
ORD-1065,2021-01-03,2021-01-05,First Class,CUS-81987,Corporate,West,Furniture,Chairs,Staples Fabric Chair,8789.74,10,0.3,-1448.57
ORD-1518,2021-01-09,2021-01-12,Same Day,CUS-65586,Consumer,North,Clothing,Sportswear,Nike Dri-Fit Tee,7256.08,8,0,934.79
ORD-1485,2021-01-11,2021-01-17,Standard Class,CUS-69302,Consumer,West,Furniture,Tables,Bevis Training Table,3399.76,7,0.3,-514.64
ORD-1594,2021-01-11,2021-01-16,Second Class,CUS-23792,Corporate,West,Technology,Copiers,Brother Laser,2574.5,5,0,702.52
ORD-1333,2021-01-14,2021-01-16,First Class,CUS-88908,Corporate,South,Technology,Copiers,Canon Imageclass,8341.79,9,0.05,380.09
ORD-1448,2021-01-16,2021-01-21,Same Day,CUS-58310,Home Office,West,Technology,Machines,Swingline Trimmer,5725.61,9,0,1970.31
ORD-1143,2021-01-17,2021-01-22,Second Class,CUS-57516,Corporate,North,Technology,Machines,Acco Punch,3770.39,7,0.2,-777.41
ORD-1156,2021-01-19,2021-01-21,Same Day,CUS-45761,Home Office,East,Furniture,Furnishings,Tenex Mat,6782.8,8,0.3,-881.08
ORD-1076,2021-01-20,2021-01-24,First Class,CUS-69878,Corporate,West,Technology,Accessories,Kensington Lock,8740.53,6,0.1,896.02
ORD-1051,2021-01-21,2021-01-25,Same Day,CUS-12260,Consumer,South,Technology,Phones,Nokia Lumia,5517.51,9,0.3,-1079.26
ORD-1307,2021-01-27,2021-02-02,First Class,CUS-29192,Consumer,North,Clothing,Outerwear,Columbia Jacket,307.88,1,0,106.39
ORD-1283,2021-01-29,2021-01-30,Same Day,CUS-75973,Home Office,East,Technology,Accessories,Logitech Keyboard,1075.79,4,0.15,-65.34
ORD-1174,2021-02-01,2021-02-06,First Class,CUS-47101,Consumer,South,Furniture,Tables,Chromcraft Table,6530.94,10,0.2,176.88
ORD-1168,2021-02-02,2021-02-03,Same Day,CUS-67535,Consumer,South,Furniture,Bookcases,Bush Classic Bookcase,5604.64,8,0,818.72
ORD-1336,2021-02-08,2021-02-15,Second Class,CUS-91685,Consumer,East,Technology,Phones,Nokia Lumia,1890.45,8,0.2,-109.22
